ID,Source (anecdote/research paper/additional data etc) ,Source info,Genus/species,Genus,Species,Subspecies,Common name,IUCN status ,Year,Month,Country,State/county,Town/city/NP,Road,Latitude,Longitude,Numbers ,Age,Sex,Date added
1,Research paper,"Hoelzer GA et al (1994). The local distribution of highly divergent mitochondrial DNA haplotypes in toque macaques Macaca sinica at Polonnaruwa, Sri Lanka. Molecular Ecology, 3: 451-458.",Macaca sinica,Macaca,sinica,,Toque macaque,EN,1987,,Sri Lanka,,Polonnaruwa,,7.94833,81.00083,1,,,
2,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1992,January,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,3,,,
3,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1992,February,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,3,,,
4,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1992,March,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,4,,,
5,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1992,April,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,4,,,
6,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1992,May ,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,4,,,
7,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1992,June,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,1,,,
8,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1992,August,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,5,,,
9,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1992,September,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,1,,,
10,Research paper,"Carvalho AS et al (2014). Large and medium-sized mammals of Carajás National Forest, Pará state, Brazil. Check List 10: 1-9.",Alouatta belzebul,Alouatta,belzebul,,Red-handed howler monkey,VU,2008-2010,,Brazil,Pará,Carajás NF,Raymundo Mascarenhas Highway,-6.0839,-50.24144,1,,,
11,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1992,October,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,3,,,
12,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1992,November,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,3,,,
13,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1992,December,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,2,,,
14,Research paper,"Goodman SM et al (2006). The distribution and biogeography of the ringtailed lemur (Lemur catta) in Madagascar. Ringtailed lemur biology: Lemur catta in Madagascar, 3-15.",Lemur catta,Lemur,catta,,Ring-tailed lemur,EN,1993,,Madagascar,,Ankazomivady,RN7,-20.77304,47.18249,1,,,
15,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1993,January,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,3,,,
16,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1993,February,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,6,,,
17,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1993,March,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,4,,,
18,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1993,April,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,2,,,
19,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1993,May ,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,5,,,
20,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1993,June,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,7,,,
21,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1993,July,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,4,,,
22,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1993,August,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,6,,,
23,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1993,September,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,3,,,
24,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1993,October,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,3,,,
25,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1993,November,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,5,,,
26,Thesis,Wong CL (1994). Studies on the feral macaques of Hong Kong,Macaca hybrid sp.,Macaca,sp.,,Macaque (hybrid),,1993,December,Hong Kong,,Kowloon Hills,,22.30097189,114.1718564,5,,,
27,Research paper,"Padua C et al (1995). A Pole Bridge to Avoid Primates Road Kils. Neotropical Primates, 3: 13. ",Leontopithecus chrysopygus,Leontopithecus,chrysopygus,,Black lion tamarin,EN,1994,September,Brazil,Sao Paulo State,Morro do Diabo State Park,,-22.523844,-52.303114,1,,,
28,Anecdote,Marcos de Souza Fialho,Callithrix jacchus,Callithrix,jacchus,,Common marmoset,LC,2000,,Brazil,Paraíba ,,,-7.166667,-36.833333,1,,,
29,Research paper,"Grilo C et al (2018). BRAZIL ROAD-KILL: a data set of wildlife terrestrial vertebrate road-kills. Ecology, 99: 1-1. ",Alouatta guariba,Alouatta,guariba,,Brown howley monkey ,VU,2001,November,Brazil,,,,-27.333,-50.86651,1,,,
30,Research paper,"Braz VDS & Franca FGR (2016). Wild vertebrate roadkill in the Chapada dos Veadeiros National Park, Central Brazil. Biota Neotropica, 16.",Alouatta caraya,Alouatta,caraya,,Black and gold howler monkey,NT,2006-2008,,Brazil,Goiás,Chapada dos Veadeiros National Park,GO239,-14.15076,-47.75346,1,,,
31,Research paper,"Braz VDS & Franca FGR (2016). Wild vertebrate roadkill in the Chapada dos Veadeiros National Park, Central Brazil. Biota Neotropica, 16.",Alouatta caraya,Alouatta,caraya,,Black and gold howler monkey,NT,2006-2008,,Brazil,Goiás,Chapada dos Veadeiros National Park,GO239,-14.15076,-47.75346,1,,,
32,Research paper,"Grilo C et al (2018). BRAZIL ROAD-KILL: a data set of wildlife terrestrial vertebrate road-kills. Ecology, 99: 1-1. ",Callithrix geoffroyi,Callithrix,geoffroyi,,White-headed marmoset,LC,2001,August,Brazil,,,,-20.4939,-40.356178,1,,,
33,Research paper,"Grilo C et al (2018). BRAZIL ROAD-KILL: a data set of wildlife terrestrial vertebrate road-kills. Ecology, 99: 1-1. ",Alouatta guariba,Alouatta,guariba,,Brown howley monkey ,VU,2002,March,Brazil,,,,-27.308853,-50.615122,1,,,
34,Database,Rebecca Smith -  primatologist at Fundación Para La Tierra,Alouatta caraya,Alouatta,caraya,,Black howler monkey,NT,,,Paraguay,,Coronel Bogado,,-27.17,-56.25,1,Adult,Female,
35,Database,Rebecca Smith -  primatologist at Fundación Para La Tierra,Alouatta caraya,Alouatta,caraya,,Black howler monkey,NT,,,Paraguay,,Coronel Bogado,,-27.17,-56.25,1,Adult,Female,
36,Research paper,"Grilo C et al (2018). BRAZIL ROAD-KILL: a data set of wildlife terrestrial vertebrate road-kills. Ecology, 99: 1-1. ",Callithrix geoffroyi,Callithrix,geoffroyi,,White-headed marmoset,LC,2002,February,Brazil,,,,-20.44976,-40.334278,1,,,
37,Research paper,"Grilo C et al (2018). BRAZIL ROAD-KILL: a data set of wildlife terrestrial vertebrate road-kills. Ecology, 99: 1-1. ",Alouatta guariba,Alouatta,guariba,,Brown howley monkey ,VU,2003,September,Brazil,,,,-24.136401,-50.524842,1,,,
38,Research paper,"Grilo C et al (2018). BRAZIL ROAD-KILL: a data set of wildlife terrestrial vertebrate road-kills. Ecology, 99: 1-1. ",Callithrix geoffroyi,Callithrix,geoffroyi,,White-headed marmoset,LC,2003,May,Brazil,,,,-20.603081,-40.426399,1,,,
39,Research paper,"Grilo C et al (2018). BRAZIL ROAD-KILL: a data set of wildlife terrestrial vertebrate road-kills. Ecology, 99: 1-1. ",Callithrix geoffroyi,Callithrix,geoffroyi,,White-headed marmoset,LC,2003,June,Brazil,,,,-20.61138,-40.47776,1,,,
40,Research paper,"Bueno C et al (2015). Habitat or matrix: which is more relevant to predict road-kill of vertebrates? Brazilian Journal of Biology, 75: 228-238. Retrieved from http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000800228&nrm=iso",Alouatta guariba,Alouatta,guariba,,Brown howley monkey ,VU,2006-2010,,Brazil,,,BR-040,-10,-52,1,,,
41,Research paper,"Bueno C et al (2015). Habitat or matrix: which is more relevant to predict road-kill of vertebrates? Brazilian Journal of Biology, 75: 228-238. Retrieved from http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000800228&nrm=iso",Alouatta guariba,Alouatta,guariba,,Brown howley monkey ,VU,2006-2010,,Brazil,,,BR-040,-10,-52,1,,,
